cargo,nivel,experiencia,ciudad,tipo_contrato,modalidad,sector,educacion,salario
DevOps,Líder,12,Cali,Prestación de servicios,Presencial,Salud,Profesional,18870000.0
DevOps,Junior,1,Medellín,Fijo,Presencial,Educación,Profesional,2540000.0
DevOps,Senior,9,Medellín,Prestación de servicios,Híbrido,Educación,Técnico,9470000.0
Analista QA,Junior,0,Medellín,Indefinido,Remoto,Salud,Técnico,2360000.0
Desarrollador Backend,Junior,2,Bucaramanga,Prestación de servicios,Remoto,Finanzas,Profesional,2730000.0
Desarrollador Frontend,Semi-Senior,5,Cali,Indefinido,Remoto,Salud,Técnico,4420000.0
DevOps,Semi-Senior,2,Medellín,Indefinido,Remoto,Tecnología,Maestría,9530000.0
Arquitecto Cloud,Semi-Senior,5,Bucaramanga,Indefinido,Híbrido,Finanzas,Profesional,6200000.0
Diseñador UI/UX,Líder,12,Barranquilla,Prestación de servicios,Presencial,Finanzas,Maestría,29730000.0
Gerente de TI,Junior,2,Bucaramanga,Prestación de servicios,Remoto,Salud,Técnico,2320000.0
Gerente de TI,Junior,0,Bogotá,Prestación de servicios,Presencial,Tecnología,Técnico,2880000.0
Arquitecto Cloud,Junior,0,Medellín,Prestación de servicios,Híbrido,Salud,Especialización,3630000.0
Desarrollador Frontend,Senior,7,Cali,Prestación de servicios,Presencial,Finanzas,Técnico,11130000.0
Diseñador UI/UX,Líder,9,Barranquilla,Indefinido,Presencial,Tecnología,Técnico,15620000.0
Científico de Datos,Senior,6,Cali,Indefinido,Híbrido,Salud,Profesional,11590000.0
Científico de Datos,Junior,2,Medellín,Fijo,Remoto,Educación,Maestría,3960000.0
Gerente de TI,Líder,11,Medellín,Prestación de servicios,Híbrido,Tecnología,Maestría,31660000.0
Diseñador UI/UX,Senior,8,Medellín,Indefinido,Híbrido,Manufactura,Maestría,17770000.0
DevOps,Líder,12,Barranquilla,Prestación de servicios,Híbrido,Tecnología,Maestría,34230000.0
Desarrollador Frontend,Junior,2,Medellín,Indefinido,Remoto,Manufactura,Técnico,2470000.0
DevOps,Líder,13,Barranquilla,Prestación de servicios,Híbrido,Manufactura,Especialización,22490000.0
Analista QA,Semi-Senior,3,Bucaramanga,Indefinido,Presencial,Salud,Especialización,4280000.0
Científico de Datos,Senior,7,Barranquilla,Indefinido,Híbrido,Retail,Técnico,7570000.0
Gerente de TI,Semi-Senior,4,Bucaramanga,Fijo,Presencial,Salud,Especialización,7320000.0
Arquitecto Cloud,Líder,12,Medellín,Fijo,Remoto,Salud,Técnico,17030000.0
Desarrollador Backend,Líder,9,Medellín,Prestación de servicios,Remoto,Finanzas,Técnico,19940000.0
Diseñador UI/UX,Semi-Senior,4,Cali,Prestación de servicios,Híbrido,Tecnología,Maestría,10020000.0
DevOps,Semi-Senior,3,Medellín,Fijo,Remoto,Manufactura,Profesional,6790000.0
Arquitecto Cloud,Semi-Senior,2,Bogotá,Prestación de servicios,Presencial,Manufactura,Maestría,7200000.0
Gerente de TI,Junior,1,Cali,Fijo,Remoto,Manufactura,Técnico,2270000.0
DevOps,Líder,14,Bucaramanga,Fijo,Híbrido,Manufactura,Maestría,22870000.0
Arquitecto Cloud,Senior,8,Bucaramanga,Fijo,Presencial,Educación,Maestría,9510000.0
Científico de Datos,Senior,8,Barranquilla,Fijo,Híbrido,Manufactura,Profesional,9690000.0
Desarrollador Backend,Junior,2,Cali,Fijo,Remoto,Salud,Profesional,2990000.0
Científico de Datos,Semi-Senior,2,Barranquilla,Prestación de servicios,Remoto,Salud,Profesional,4640000.0
Científico de Datos,Senior,8,Bogotá,Prestación de servicios,Presencial,Retail,Técnico,7010000.0
Desarrollador Frontend,Semi-Senior,2,Bogotá,Indefinido,Híbrido,Salud,Maestría,8710000.0
DevOps,Senior,8,Cali,Prestación de servicios,Remoto,Finanzas,Maestría,20380000.0
Analista QA,Junior,0,Medellín,Fijo,Presencial,Educación,Especialización,2840000.0
Analista QA,Senior,9,Cali,Fijo,Presencial,Manufactura,Profesional,8160000.0
Desarrollador Backend,Junior,0,Bucaramanga,Indefinido,Remoto,Finanzas,Maestría,3470000.0
Desarrollador Frontend,Semi-Senior,4,Medellín,Prestación de servicios,Remoto,Tecnología,Maestría,11060000.0
DevOps,Junior,1,Barranquilla,Indefinido,Presencial,Salud,Maestría,3560000.0
Diseñador UI/UX,Líder,9,Barranquilla,Prestación de servicios,Presencial,Salud,Profesional,15480000.0
Diseñador UI/UX,Semi-Senior,5,Medellín,Indefinido,Remoto,Manufactura,Maestría,9490000.0
Desarrollador Backend,Líder,9,Medellín,Prestación de servicios,Remoto,Educación,Maestría,23590000.0
Científico de Datos,Junior,2,Medellín,Prestación de servicios,Presencial,Educación,Profesional,2560000.0
DevOps,Junior,0,Medellín,Indefinido,Híbrido,Educación,Especialización,3130000.0
Gerente de TI,Semi-Senior,2,Bogotá,Prestación de servicios,Presencial,Tecnología,Técnico,4580000.0
Arquitecto Cloud,Junior,1,Bucaramanga,Prestación de servicios,Híbrido,Tecnología,Especialización,3930000.0
DevOps,Senior,5,Bogotá,Indefinido,Remoto,Finanzas,Maestría,20630000.0
DevOps,Junior,0,Medellín,Fijo,Híbrido,Manufactura,Profesional,2790000.0
Arquitecto Cloud,Semi-Senior,2,Bucaramanga,Fijo,Híbrido,Tecnología,Profesional,6170000.0
Desarrollador Frontend,Líder,14,Barranquilla,Prestación de servicios,Híbrido,Retail,Maestría,23440000.0
Desarrollador Backend,Senior,5,Bucaramanga,Fijo,Presencial,Salud,Profesional,8560000.0
Desarrollador Frontend,Líder,13,Cali,Indefinido,Remoto,Finanzas,Maestría,30700000.0
Científico de Datos,Junior,2,Medellín,Indefinido,Híbrido,Retail,Maestría,3650000.0
Desarrollador Backend,Semi-Senior,4,Barranquilla,Prestación de servicios,Remoto,Retail,Profesional,3860000.0
Desarrollador Backend,Senior,9,Cali,Prestación de servicios,Híbrido,Salud,Maestría,15440000.0
Diseñador UI/UX,Senior,5,Medellín,Fijo,Híbrido,Salud,Profesional,12250000.0
Gerente de TI,Líder,10,Bucaramanga,Prestación de servicios,Presencial,Finanzas,Especialización,19070000.0
Analista QA,Líder,11,Cali,Indefinido,Híbrido,Manufactura,Profesional,16210000.0
DevOps,Senior,5,Barranquilla,Prestación de servicios,Híbrido,Tecnología,Especialización,12360000.0
DevOps,Junior,1,Barranquilla,Fijo,Híbrido,Retail,Especialización,2790000.0
Diseñador UI/UX,Senior,9,Bogotá,Prestación de servicios,Remoto,Salud,Técnico,11130000.0
DevOps,Junior,2,Bucaramanga,Indefinido,Remoto,Salud,Profesional,2710000.0
Científico de Datos,Semi-Senior,4,Barranquilla,Indefinido,Presencial,Finanzas,Especialización,5920000.0
Diseñador UI/UX,Semi-Senior,3,Cali,Fijo,Híbrido,Educación,Maestría,7320000.0
Diseñador UI/UX,Semi-Senior,3,Bogotá,Indefinido,Presencial,Salud,Profesional,5510000.0
Científico de Datos,Senior,5,Bogotá,Indefinido,Presencial,Manufactura,Especialización,10290000.0
Desarrollador Backend,Senior,5,Barranquilla,Indefinido,Híbrido,Finanzas,Especialización,12850000.0
Gerente de TI,Semi-Senior,2,Barranquilla,Indefinido,Presencial,Retail,Maestría,6130000.0
Científico de Datos,Junior,2,Bucaramanga,Prestación de servicios,Remoto,Educación,Técnico,1840000.0
Desarrollador Frontend,Junior,2,Bogotá,Prestación de servicios,Remoto,Finanzas,Especialización,5120000.0
Arquitecto Cloud,Semi-Senior,4,Cali,Prestación de servicios,Presencial,Retail,Profesional,3580000.0
Desarrollador Frontend,Junior,1,Cali,Prestación de servicios,Híbrido,Manufactura,Especialización,2360000.0
Desarrollador Frontend,Junior,0,Medellín,Fijo,Presencial,Manufactura,Maestría,4170000.0
Desarrollador Frontend,Líder,12,Bogotá,Prestación de servicios,Presencial,Tecnología,Maestría,41370000.0
Desarrollador Backend,Senior,8,Bucaramanga,Indefinido,Remoto,Manufactura,Técnico,7890000.0
Arquitecto Cloud,Semi-Senior,4,Bucaramanga,Prestación de servicios,Remoto,Retail,Profesional,4090000.0
DevOps,Junior,2,Barranquilla,Fijo,Remoto,Educación,Profesional,2460000.0
DevOps,Junior,1,Barranquilla,Prestación de servicios,Presencial,Manufactura,Profesional,3000000.0
Analista QA,Senior,9,Bucaramanga,Indefinido,Presencial,Salud,Técnico,7920000.0
Arquitecto Cloud,Líder,10,Bogotá,Fijo,Remoto,Educación,Especialización,27060000.0
Gerente de TI,Líder,11,Barranquilla,Fijo,Presencial,Tecnología,Especialización,23860000.0
Diseñador UI/UX,Junior,2,Barranquilla,Indefinido,Remoto,Retail,Maestría,4070000.0
Gerente de TI,Senior,8,Barranquilla,Fijo,Remoto,Retail,Profesional,8510000.0
Desarrollador Backend,Senior,5,Bogotá,Prestación de servicios,Híbrido,Manufactura,Profesional,10150000.0
Arquitecto Cloud,Semi-Senior,2,Bucaramanga,Fijo,Híbrido,Retail,Maestría,5530000.0
Arquitecto Cloud,Junior,0,Bogotá,Prestación de servicios,Híbrido,Retail,Maestría,3270000.0
Analista QA,Líder,8,Bucaramanga,Indefinido,Híbrido,Tecnología,Profesional,15830000.0
Gerente de TI,Junior,0,Bogotá,Fijo,Híbrido,Retail,Profesional,2940000.0
DevOps,Junior,0,Bucaramanga,Indefinido,Remoto,Tecnología,Maestría,4690000.0
Gerente de TI,Junior,2,Bucaramanga,Prestación de servicios,Híbrido,Retail,Especialización,2640000.0
Analista QA,Senior,9,Bogotá,Prestación de servicios,Remoto,Educación,Técnico,7850000.0
Analista QA,Semi-Senior,4,Barranquilla,Fijo,Remoto,Tecnología,Especialización,8930000.0
DevOps,Senior,9,Bogotá,Prestación de servicios,Híbrido,Finanzas,Profesional,17410000.0
Desarrollador Frontend,Semi-Senior,2,Cali,Prestación de servicios,Remoto,Tecnología,Maestría,10130000.0
Científico de Datos,Senior,5,Medellín,Prestación de servicios,Remoto,Tecnología,Profesional,15570000.0
Científico de Datos,Semi-Senior,3,Cali,Fijo,Remoto,Tecnología,Especialización,6470000.0
Desarrollador Frontend,Senior,8,Cali,Indefinido,Híbrido,Educación,Profesional,9660000.0
Desarrollador Frontend,Senior,7,Bogotá,Prestación de servicios,Remoto,Finanzas,Técnico,14070000.0
Analista QA,Semi-Senior,2,Bogotá,Prestación de servicios,Remoto,Manufactura,Maestría,10240000.0
Desarrollador Frontend,Senior,9,Bogotá,Indefinido,Híbrido,Finanzas,Profesional,14800000.0
Desarrollador Frontend,Líder,9,Cali,Prestación de servicios,Presencial,Tecnología,Especialización,23830000.0
Diseñador UI/UX,Senior,6,Barranquilla,Indefinido,Presencial,Salud,Técnico,7530000.0
Diseñador UI/UX,Junior,0,Barranquilla,Prestación de servicios,Remoto,Finanzas,Maestría,5140000.0
Desarrollador Backend,Junior,0,Bucaramanga,Fijo,Híbrido,Tecnología,Especialización,3120000.0
Desarrollador Frontend,Junior,0,Medellín,Indefinido,Híbrido,Retail,Especialización,3060000.0
Desarrollador Backend,Semi-Senior,3,Cali,Prestación de servicios,Híbrido,Retail,Profesional,4780000.0
DevOps,Senior,9,Bucaramanga,Fijo,Híbrido,Educación,Profesional,8660000.0
Desarrollador Frontend,Semi-Senior,5,Bogotá,Indefinido,Remoto,Educación,Especialización,6930000.0
Gerente de TI,Semi-Senior,5,Bogotá,Indefinido,Híbrido,Salud,Técnico,5740000.0
Científico de Datos,Junior,1,Bucaramanga,Prestación de servicios,Presencial,Retail,Especialización,2060000.0
Científico de Datos,Semi-Senior,5,Bucaramanga,Prestación de servicios,Híbrido,Tecnología,Técnico,4050000.0
Desarrollador Frontend,Senior,8,Cali,Indefinido,Presencial,Educación,Especialización,9660000.0
Analista QA,Senior,6,Cali,Prestación de servicios,Remoto,Tecnología,Especialización,16650000.0
Arquitecto Cloud,Líder,9,Cali,Indefinido,Presencial,Educación,Maestría,22140000.0
Desarrollador Frontend,Junior,0,Bucaramanga,Fijo,Presencial,Retail,Técnico,1230000.0
Gerente de TI,Líder,13,Bucaramanga,Fijo,Presencial,Salud,Técnico,14780000.0
Arquitecto Cloud,Líder,11,Bogotá,Fijo,Híbrido,Salud,Profesional,21230000.0
Diseñador UI/UX,Líder,11,Barranquilla,Fijo,Presencial,Finanzas,Maestría,24050000.0
DevOps,Senior,5,Cali,Prestación de servicios,Remoto,Retail,Profesional,9690000.0
Desarrollador Backend,Semi-Senior,5,Cali,Prestación de servicios,Presencial,Salud,Especialización,6980000.0
Analista QA,Senior,5,Barranquilla,Indefinido,Remoto,Tecnología,Técnico,8670000.0
Gerente de TI,Semi-Senior,4,Cali,Indefinido,Remoto,Manufactura,Técnico,4120000.0
Gerente de TI,Senior,6,Bucaramanga,Fijo,Presencial,Retail,Profesional,9300000.0
Analista QA,Líder,11,Medellín,Indefinido,Presencial,Manufactura,Técnico,15850000.0
DevOps,Senior,7,Cali,Fijo,Híbrido,Tecnología,Maestría,20680000.0
Arquitecto Cloud,Senior,9,Bucaramanga,Indefinido,Remoto,Tecnología,Maestría,19270000.0
Desarrollador Backend,Semi-Senior,4,Bogotá,Fijo,Híbrido,Manufactura,Maestría,9850000.0
DevOps,Líder,12,Bucaramanga,Fijo,Remoto,Educación,Especialización,13280000.0
Desarrollador Backend,Semi-Senior,5,Medellín,Indefinido,Presencial,Finanzas,Profesional,6600000.0
Científico de Datos,Semi-Senior,3,Bucaramanga,Prestación de servicios,Presencial,Salud,Profesional,3470000.0
Gerente de TI,Senior,7,Bucaramanga,Prestación de servicios,Remoto,Tecnología,Técnico,9580000.0
Analista QA,Senior,9,Cali,Indefinido,Remoto,Manufactura,Especialización,14290000.0
Arquitecto Cloud,Senior,6,Medellín,Fijo,Híbrido,Manufactura,Profesional,11970000.0
Diseñador UI/UX,Senior,8,Bucaramanga,Prestación de servicios,Presencial,Finanzas,Maestría,16430000.0
Gerente de TI,Senior,6,Medellín,Fijo,Presencial,Retail,Técnico,7030000.0
Gerente de TI,Junior,1,Bucaramanga,Fijo,Híbrido,Manufactura,Profesional,2530000.0
Arquitecto Cloud,Senior,6,Bogotá,Fijo,Remoto,Salud,Técnico,10580000.0
Arquitecto Cloud,Senior,6,Barranquilla,Fijo,Presencial,Retail,Técnico,6910000.0
Desarrollador Backend,Junior,1,Barranquilla,Prestación de servicios,Remoto,Tecnología,Profesional,3240000.0
Desarrollador Frontend,Senior,5,Medellín,Prestación de servicios,Presencial,Educación,Técnico,6680000.0
Desarrollador Backend,Junior,0,Bogotá,Prestación de servicios,Remoto,Salud,Especialización,5180000.0
Analista QA,Semi-Senior,2,Bucaramanga,Fijo,Presencial,Salud,Maestría,5930000.0
Arquitecto Cloud,Senior,6,Cali,Indefinido,Presencial,Tecnología,Técnico,11190000.0
Gerente de TI,Semi-Senior,5,Bogotá,Indefinido,Híbrido,Retail,Profesional,5590000.0
Diseñador UI/UX,Semi-Senior,2,Barranquilla,Indefinido,Presencial,Educación,Técnico,2870000.0
Gerente de TI,Líder,9,Cali,Fijo,Remoto,Salud,Maestría,25520000.0
DevOps,Semi-Senior,2,Barranquilla,Indefinido,Presencial,Retail,Técnico,2630000.0
Analista QA,Semi-Senior,3,Bucaramanga,Indefinido,Híbrido,Finanzas,Profesional,5220000.0
Arquitecto Cloud,Líder,13,Medellín,Prestación de servicios,Remoto,Retail,Especialización,25550000.0
Desarrollador Frontend,Líder,12,Cali,Indefinido,Híbrido,Salud,Profesional,17990000.0
DevOps,Junior,2,Barranquilla,Prestación de servicios,Remoto,Salud,Profesional,2900000.0
Científico de Datos,Senior,5,Medellín,Indefinido,Híbrido,Educación,Técnico,8500000.0
Arquitecto Cloud,Senior,6,Barranquilla,Indefinido,Híbrido,Salud,Maestría,18200000.0
Analista QA,Senior,8,Cali,Indefinido,Presencial,Tecnología,Especialización,17040000.0
Arquitecto Cloud,Líder,12,Cali,Prestación de servicios,Remoto,Tecnología,Técnico,18960000.0
Gerente de TI,Líder,14,Barranquilla,Fijo,Híbrido,Tecnología,Especialización,22160000.0
Analista QA,Líder,11,Medellín,Prestación de servicios,Presencial,Salud,Profesional,16030000.0
Desarrollador Frontend,Senior,6,Bogotá,Fijo,Remoto,Finanzas,Especialización,17050000.0
Analista QA,Senior,7,Bucaramanga,Indefinido,Presencial,Salud,Especialización,9880000.0
Desarrollador Frontend,Semi-Senior,5,Barranquilla,Indefinido,Presencial,Tecnología,Profesional,5150000.0
Científico de Datos,Semi-Senior,2,Medellín,Indefinido,Remoto,Retail,Maestría,6110000.0
Analista QA,Semi-Senior,2,Bucaramanga,Fijo,Híbrido,Manufactura,Profesional,4260000.0
DevOps,Semi-Senior,3,Medellín,Fijo,Remoto,Manufactura,Especialización,7060000.0
Desarrollador Frontend,Junior,2,Barranquilla,Indefinido,Remoto,Retail,Técnico,1730000.0
Científico de Datos,Senior,8,Barranquilla,Fijo,Remoto,Salud,Especialización,9510000.0
Desarrollador Backend,Semi-Senior,3,Bogotá,Prestación de servicios,Remoto,Tecnología,Profesional,7740000.0
Desarrollador Backend,Senior,6,Medellín,Fijo,Presencial,Educación,Especialización,12900000.0
Desarrollador Backend,Junior,1,Medellín,Prestación de servicios,Remoto,Finanzas,Maestría,4690000.0
DevOps,Líder,11,Bogotá,Prestación de servicios,Presencial,Tecnología,Especialización,31440000.0
Analista QA,Semi-Senior,5,Bucaramanga,Fijo,Presencial,Retail,Técnico,3740000.0
Diseñador UI/UX,Semi-Senior,5,Medellín,Prestación de servicios,Presencial,Manufactura,Técnico,4380000.0
Desarrollador Frontend,Junior,0,Medellín,Indefinido,Híbrido,Retail,Profesional,2040000.0
Desarrollador Backend,Junior,0,Bucaramanga,Prestación de servicios,Remoto,Retail,Maestría,3020000.0
Científico de Datos,Semi-Senior,2,Medellín,Indefinido,Remoto,Salud,Técnico,4480000.0
Desarrollador Backend,Semi-Senior,5,Bogotá,Fijo,Remoto,Finanzas,Profesional,6550000.0
Arquitecto Cloud,Junior,1,Bogotá,Indefinido,Híbrido,Finanzas,Maestría,5550000.0
Analista QA,Junior,0,Barranquilla,Indefinido,Presencial,Retail,Técnico,2040000.0
Desarrollador Backend,Junior,2,Medellín,Indefinido,Remoto,Manufactura,Maestría,4710000.0
Gerente de TI,Semi-Senior,5,Medellín,Indefinido,Remoto,Tecnología,Maestría,12730000.0
Desarrollador Frontend,Semi-Senior,2,Cali,Fijo,Presencial,Retail,Técnico,3310000.0
Arquitecto Cloud,Senior,7,Bucaramanga,Fijo,Remoto,Finanzas,Maestría,12920000.0
Gerente de TI,Junior,0,Bucaramanga,Fijo,Remoto,Tecnología,Técnico,2410000.0
Arquitecto Cloud,Líder,13,Bucaramanga,Indefinido,Híbrido,Manufactura,Técnico,11420000.0
Desarrollador Backend,Semi-Senior,4,Barranquilla,Fijo,Presencial,Salud,Especialización,5640000.0
Arquitecto Cloud,Junior,0,Medellín,Fijo,Híbrido,Manufactura,Técnico,2520000.0
DevOps,Junior,1,Cali,Prestación de servicios,Híbrido,Salud,Especialización,3640000.0
Diseñador UI/UX,Líder,13,Bucaramanga,Fijo,Remoto,Tecnología,Maestría,30730000.0
Científico de Datos,Líder,10,Medellín,Prestación de servicios,Híbrido,Tecnología,Técnico,17150000.0
Desarrollador Backend,Líder,9,Bogotá,Indefinido,Presencial,Tecnología,Especialización,27320000.0
Arquitecto Cloud,Senior,5,Cali,Indefinido,Remoto,Finanzas,Maestría,18500000.0
Gerente de TI,Líder,14,Cali,Fijo,Remoto,Finanzas,Especialización,27730000.0
Científico de Datos,Senior,5,Bucaramanga,Indefinido,Remoto,Manufactura,Profesional,9600000.0
Desarrollador Frontend,Líder,12,Cali,Indefinido,Presencial,Tecnología,Maestría,28740000.0
Diseñador UI/UX,Junior,0,Cali,Fijo,Presencial,Salud,Maestría,4580000.0
Diseñador UI/UX,Líder,11,Medellín,Indefinido,Presencial,Retail,Maestría,25220000.0
Arquitecto Cloud,Semi-Senior,3,Bucaramanga,Prestación de servicios,Presencial,Educación,Especialización,4240000.0
DevOps,Junior,0,Bogotá,Prestación de servicios,Remoto,Tecnología,Técnico,3490000.0
Analista QA,Líder,13,Cali,Prestación de servicios,Presencial,Retail,Profesional,16510000.0
Arquitecto Cloud,Líder,14,Barranquilla,Prestación de servicios,Híbrido,Manufactura,Especialización,20200000.0
DevOps,Líder,14,Cali,Fijo,Presencial,Retail,Especialización,20170000.0
Científico de Datos,Líder,11,Bogotá,Indefinido,Híbrido,Educación,Especialización,21080000.0
DevOps,Junior,0,Bogotá,Fijo,Remoto,Manufactura,Maestría,3960000.0
Desarrollador Backend,Junior,1,Medellín,Indefinido,Presencial,Manufactura,Técnico,2310000.0
Desarrollador Frontend,Semi-Senior,4,Cali,Fijo,Remoto,Salud,Técnico,4750000.0
Diseñador UI/UX,Semi-Senior,4,Medellín,Indefinido,Remoto,Finanzas,Profesional,5990000.0
DevOps,Semi-Senior,2,Barranquilla,Fijo,Remoto,Educación,Profesional,4200000.0
Científico de Datos,Líder,8,Bogotá,Prestación de servicios,Remoto,Salud,Especialización,23300000.0
Arquitecto Cloud,Senior,6,Barranquilla,Fijo,Híbrido,Manufactura,Profesional,8700000.0
Desarrollador Backend,Senior,7,Bucaramanga,Prestación de servicios,Híbrido,Salud,Especialización,13930000.0
Desarrollador Backend,Líder,10,Medellín,Fijo,Remoto,Finanzas,Profesional,21220000.0
Desarrollador Backend,Semi-Senior,4,Cali,Fijo,Remoto,Tecnología,Maestría,8240000.0
Desarrollador Frontend,Senior,8,Medellín,Indefinido,Remoto,Retail,Profesional,12180000.0
Arquitecto Cloud,Semi-Senior,2,Cali,Fijo,Presencial,Educación,Especialización,5320000.0
DevOps,Junior,0,Barranquilla,Indefinido,Remoto,Educación,Maestría,3710000.0
Gerente de TI,Junior,0,Barranquilla,Prestación de servicios,Remoto,Finanzas,Maestría,4860000.0
Diseñador UI/UX,Líder,13,Bogotá,Fijo,Híbrido,Retail,Profesional,23090000.0
